სათაური,ავტორი,ფასი,ლინკი
როზალინდ ფრანკლინი – მითებისა და ლეგენდების გარეშე,გიორგი ძნელაძე,₾3.00 GEL,http://lit.ge/book/276747-rozalind-franklini-mitebisa-da-legendebis-gareshe-giorgi-dzneladze/
ამბავი უფლისწული გენჯისა,მურასაკი შიკიბუ,₾14.60 GEL,http://lit.ge/book/276050-ambavi-uflistsuli-genjisa-murasaki-shikibu/
"კაცი, რომელიც სახეებს მიღმა ხედავდა",ერიკ-ემანუელ შმიტი,₾13.20 GEL,"http://lit.ge/book/276001-kaci,-romelic-saxeebs-mighma-xedavda-erik-emanuel-shmiti/"
პატარა ქალები,ლუიზა მეი ოლკოტი,₾8.60 GEL,http://lit.ge/book/275955-patara-qalebi-luiza-mei-olkoti/
ჩემი საბჭოთა წარსული,ირაკლი ბოკუჩავა,₾7.50 GEL,http://lit.ge/book/275892-chemi-sabchota-tsarsuli-irakli-bokuchava/
მიბრუნება,მიხეილ იოჰანი,₾9.90 GEL,http://lit.ge/book/275852-mibruneba-mixeil-iohani/
თავისუფლების კანონი,ნიკა რურუა,₾13.20 GEL,http://lit.ge/book/275781-tavisuflebis-kanoni-nika-rurua/
ზარდახშის საიდუმლო,ნანა კვახაძე,₾3.00 GEL,http://lit.ge/book/274607-zardaxshis-saidumlo-nana-kvaxadze/
ბერენი და ლუთიენი,ჯ. რ. რ. ტოლკინი,₾11.00 GEL,http://lit.ge/book/274364-bereni-da-lutieni-j-r-r-tolkini/
მერვე სიცოცხლე (ბრილკას),ნინო ხარატიშვილი,₾25.00 GEL,http://lit.ge/book/273746-merve-sicocxle-brilkas-nino-xaratishvili/
ბევრი მივლია,კახა სულუაშვილი,უფასო,http://lit.ge/book/273432-bevri-mivlia-kaxa-suluashvili/
კეთილიონი,არნფინ ქოლერუ,₾8.60 GEL,http://lit.ge/book/273335-ketilioni-arnfin-qoleru/
ჯონ ლენონი,თემურ ტონია,₾3.00 GEL,http://lit.ge/book/273304-jon-lenoni-temur-tonia/
მოვუსმინოთ შვილებს. მოუსმინეთ ბოლოს და ბოლოს...,ანიეტ ქემფბელი,₾4.50 GEL,http://lit.ge/book/273236-movusminot-shvilebs-mousminet-bolos-da-bolos-aniet-qemfbeli/
პაბლო პიკასო,ნინო ხუნდაძე,₾3.00 GEL,http://lit.ge/book/273089-pablo-pikaso-nino-xundadze/
"ვა, სოფელო... (კახური ქრონიკები)",ზაირა არსენიშვილი,₾12.60 GEL,"http://lit.ge/book/273036-va,-sofelo-kaxuri-qronikebi-zaira-arsenishvili/"
იოჰან გუტენბერგი,სვეტა კვარაცხელია,₾3.00 GEL,http://lit.ge/book/272985-iohan-gutenbergi-sveta-kvaracxelia/
პლატონი,თამარ-ბარბარე თომაძე,₾3.00 GEL,http://lit.ge/book/272938-platoni-tamar-barbare-tomadze/
ამერიკელი ფსიქოპათი,ბრეტ ისტონ ელისი,₾15.90 GEL,http://lit.ge/book/272848-amerikeli-fsiqopati-bret-iston-elisi/
ფარშავანგი,აკა მორჩილაძე,₾7.20 GEL,http://lit.ge/book/272816-farshavangi-aka-morchiladze/
კოკო შანელი,სვეტა კვარაცხელია,₾3.00 GEL,http://lit.ge/book/272766-koko-shaneli-sveta-kvaracxelia/
მაო ძედუნი,ალექსანდრე დაუშვილი,₾3.00 GEL,http://lit.ge/book/272711-mao-dzeduni-aleqsandre-daushvili/
მარგარეტ თეტჩერი,ზურაბ აბაშიძე,₾3.00 GEL,http://lit.ge/book/272654-margaret-tetcheri-zurab-abashidze/
ზიგმუნდ ფროიდი,თამარ-ბარბარე თომაძე,₾3.00 GEL,http://lit.ge/book/272603-zigmund-froidi-tamar-barbare-tomadze/
ჯონ კენედი,ზურაბ აბაშიძე,₾3.00 GEL,http://lit.ge/book/272555-jon-kenedi-zurab-abashidze/
დამარხული ვაზი,არტურ იურკევიჩი,₾7.00 GEL,"http://lit.ge/book/272482-damarxuli-vazi-artur-iurkevichi,-malxaz-jajanidze/"
"ბებიამ მთხოვა, თქვენთვის მეთქვა, რომ ბოდიშს იხდის",ფრედრიკ ბაკმანი,₾7.50 GEL,"http://lit.ge/book/272416-bebiam-mtxova,-tqventvis-metqva,-rom-bodishs-ixdis-fredrik-bakmani/"
მუხრან მაჭავარიანი – 90 ამბავი,___,₾7.00 GEL,http://lit.ge/book/272300-muxran-machavariani-90-ambavi-___/
თამაზ ჭილაძე – 55 ამბავი,___,₾5.00 GEL,http://lit.ge/book/272216-tamaz-chiladze-55-ambavi-___/
#იმდროს – 70 ამბავი,გელა ჩარკვიანი,₾5.00 GEL,http://lit.ge/book/272121-imdros-70-ambavi-gela-charkviani/
ოთარ ჩხეიძე – 100 ამბავი,როსტომ ჩხეიძე,₾6.00 GEL,http://lit.ge/book/271995-otar-chxeidze-100-ambavi-rostom-chxeidze/
დავით ბენ გურიონი,გურამ ბათიაშვილი,₾3.00 GEL,http://lit.ge/book/271935-davit-ben-gurioni-guram-batiashvili/
ბენიტო მუსოლინი,ნიკა თევზაძე,₾3.00 GEL,http://lit.ge/book/271856-benito-musolini-nika-tevzadze/
ნიკოლა ტესლა,ირმა ხარშილაძე,₾3.00 GEL,http://lit.ge/book/271813-nikola-tesla-irma-xarshiladze/
მარკო პოლო,სვეტა კვარაცხელია,₾3.00 GEL,http://lit.ge/book/271754-marko-polo-sveta-kvaracxelia/
გურია და გურულები – 150 ამბავი,ირაკლი მახარაძე,₾7.00 GEL,http://lit.ge/book/271576-guria-da-gurulebi-150-ambavi-irakli-maxaradze/
გალაკტიონი – 200 ამბავი,___,₾7.00 GEL,http://lit.ge/book/271349-galaktioni-200-ambavi-___/
მამები და შვილები. მოზეიმე სიყვარულის სიმღერა,ივან ტურგენევი,₾4.00 GEL,http://lit.ge/book/271206-mamebi-da-shvilebi-mozeime-siyvarulis-simghera-ivan-turgenevi/
ოთარ ჭილაძე 65 ამბავი,___,₾5.00 GEL,http://lit.ge/book/271120-otar-chiladze-65-ambavi-___/
ქართველთა შორის წერა-კითხვის გამავრცელებელი საზოგადოება – 100 ამბავი,___,₾5.50 GEL,http://lit.ge/book/270981-qartvelta-shoris-tsera-kitxvis-gamavrcelebeli-sazogadoeba-100-ambavi-___/
ჩინური დღიური,კოკა არჩვაძე,₾5.20 GEL,http://lit.ge/book/270959-chinuri-dghiuri-koka-archvadze/
კონსტანტინე გამსახურდია – 126 ამბავი,___,₾6.00 GEL,http://lit.ge/book/270801-konstantine-gamsaxurdia-126-ambavi-___/
პავლე ინგოროყვა – 125 ამბავი,როსტომ ჩხეიძე,₾5.50 GEL,http://lit.ge/book/270640-pavle-ingoroyva-125-ambavi-rostom-chxeidze/
პირველი სიყვარული. გაზაფხულის მღელვარე ნაკადები. მუმუ,ივან ტურგენევი,₾4.00 GEL,http://lit.ge/book/270543-pirveli-siyvaruli-gazafxulis-mghelvare-nakadebi-mumu-ivan-turgenevi/
"კიბერდანაშაული, სასჯელი და პროცესუალური სამართალწარმოება",შაქრო ბაღდავაძე,₾4.00 GEL,"http://lit.ge/book/270507-kiberdanashauli,-sasjeli-da-procesualuri-samartaltsarmoeba-shaqro-baghdavadze/"
ბახუსის მოყვარულნი – 100 ამბავი,___,₾4.00 GEL,http://lit.ge/book/270379-baxusis-moyvarulni-100-ambavi-___/
მარკეტინგი,ბრაიან თრეისი,₾5.00 GEL,http://lit.ge/book/270260-marketingi-braian-treisi/
"მიხა, შე ძველო!",გარი ურჩი,უფასო,"http://lit.ge/book/270151-mixa,-she-dzvelo-gari-urchi/"
ნელსონ მანდელა,ზურაბ აბაშიძე,₾3.00 GEL,http://lit.ge/book/269972-nelson-mandela-zurab-abashidze/
სულის მოთქმა. მადლობა ცეცხლისთვის,მარიო ბენედეტი,₾8.00 GEL,http://lit.ge/book/269921-sulis-motqma-madloba-cecxlistvis-mario-benedeti/
Buy-ოლოგია,მარტინ ლინდსტრომი,₾7.00 GEL,http://lit.ge/book/269785-buy-ologia-martin-lindstromi/
ცხოველთა სამყარო – 100 უცნაური ამბავი,კახა კუდავა,₾4.50 GEL,http://lit.ge/book/269631-cxovelta-samyaro-100-ucnauri-ambavi-kaxa-kudava/
მერაბ კოსტავა – 79 ამბავი,___,₾4.00 GEL,http://lit.ge/book/269521-merab-kostava-79-ambavi-___/
ზვიად გამსახურდია – 79 ამბავი,___,₾4.00 GEL,http://lit.ge/book/269413-zviad-gamsaxurdia-79-ambavi-___/
კოსმოსური საქმე,სტიუარტ გიბსი,₾6.00 GEL,http://lit.ge/book/269351-kosmosuri-saqme-stiuart-gibsi/
შურისძიებას აცვია პრადა,ლორენ ვაისბერგერი,₾6.00 GEL,http://lit.ge/book/269303-shurisdziebas-acvia-prada-loren-vaisbergeri/
ოსკარ უაოს ხანმოკლე და უჩვეულო ცხოვრება,ჯუნოუ დიაზი,₾9.00 GEL,http://lit.ge/book/269195-oskar-uaos-xanmokle-da-uchveulo-cxovreba-junou-diazi/
ენ ვერონიკა,ჰერბერტ უელსი,₾6.00 GEL,http://lit.ge/book/269044-en-veronika-herbert-uelsi/
ხაფანგი-22. ტომი II,ჯოზეფ ჰელერი,₾7.00 GEL,http://lit.ge/book/268006-xafangi-22-tomi-ii-jozef-heleri/
სიცოცხლე განსაზღვრული არტიკლით,მარიამ წერეთელი,₾3.00 GEL,http://lit.ge/book/267961-sicocxle-gansazghvruli-artiklit-mariam-tsereteli/
ეროტიკული ტანკები,რუბოკო შო,₾3.00 GEL,http://lit.ge/book/267836-erotikuli-tankebi-ruboko-sho/
წითელი დედოფალი,ვიქტორია ავეიარდი,₾7.50 GEL,http://lit.ge/book/267775-tsiteli-dedofali-viqtoria-aveiardi/
უკანასკნელი ვარსკვლავი,რიკ იანსი,₾7.00 GEL,http://lit.ge/book/267621-ukanaskneli-varskvlavi-rik-iansi/
უკანასკნელი პრემიერა,მაია ბურჭულაძე,₾3.00 GEL,http://lit.ge/book/267573-ukanaskneli-premiera-maia-burchuladze/
